name,screen_name,followers_count,friends_count,post_count,lang,location,default_profile_image,profile_use_background_image,verified,description,created_at,label,has_location,location_clean,is_real_location
MadSnail Travel,MadSnailTravel,687.0,1226.0,2171.0,es,"Madrid, Spain",False,False,False,"Сarefully crafted private walking tours and touristic activities in Madrid and Spain, led by enthusiastic and experienced local tour guides.",02-04-2009 13:51,0,1,"madrid, spain",True
Kelsea Merriweather,Madam2Fly,684.0,469.0,30702.0,en,,False,True,False,Thriving. U of Memphis Alumna. MBA-HR 18',28-10-2009 15:28,0,0,,
Maddy Reese,Maddsteroni,606.0,738.0,7683.0,en,"Los Angeles, California",False,True,False,"Aspiring writer, comedian, and money owner. Pun extraordinaire. Dancer/choreographer in LA from Long Island. I teach piano and instruct fitness.",08-09-2012 23:51,0,1,"los angeles, california",True
madison ward,Madisonward15,980.0,599.0,12259.0,en,oklahoma state chi omega ,False,True,False,how deep the fathers love for us,23-02-2011 00:05,0,1,oklahoma state chi omega,False
Maggiemelba,Maggiemelba,1356.0,1094.0,36811.0,en,Cairo/Melbourne,False,True,False,"ex-Book marketer • painter, writer, blogger, book hoarder • Owns @MsLittleKitchen • Startups • Wanderlusterer • Coffee • Literature •",19-02-2009 07:45,0,1,cairomelbourne,False
Nicketa Gomes,MahaliaGJ,180.0,203.0,14257.0,en,Trinidad and Tobago,False,True,False,"Scientist in mind, artist at heart. Can't choose between the two #I4TANDT #Ultimate007 #Writer #Designer #MissFancyFashionHouse",05-01-2012 18:09,0,1,trinidad and tobago,True
tofee yuh 👶,MaletaNiDen,3540.0,324.0,52894.0,en,,False,True,False,idc | https://t.co/dtenD47Abu,20-05-2014 16:59,0,0,,
Malica,MalicaCrocker,62.0,107.0,653.0,en,,False,True,False,Just live life to the fullest,17-02-2014 02:30,0,0,,
⌜Retrofuture Dirty⌟,Malicious_Hero,89.0,288.0,5440.0,en,,False,True,False,Investigate Obliterate Recreate Replicate.,13-06-2009 20:52,0,0,,
Mandy Lou Graham,MandylouGraham,1168.0,2060.0,22055.0,en,"Texas, USA",False,True,False,Psychology & forensic science are interesting. I say & do what I want within legal reason. I never throw myself at anyone.🇹🇹🇻🇪 🚓🚑🚒 #AutismAwareness💙,06-09-2013 18:06,0,1,"texas, usa",True
শেখর,MangoBwoy,1695.0,213.0,96528.0,en,Bharat Mata,False,True,False,Soldiers are dying on the border and you are worried about my bio?,16-07-2009 16:35,0,1,bharat mata,True
Mj Espolong,MaraJessa,77.0,434.0,2028.0,en,Republic of the Philippines,False,True,False,Electron and stupid that will never know whether everything was a lie.,07-03-2010 08:30,0,1,republic of the philippines,True
Marcos Diaz Pleite,MarcosPleite173,254.0,169.0,7719.0,es,Polán (Toledo),False,True,False,"This is the Official twitter of Marcos Diaz Pleite. Un joven trabajador, deportista, dibujante y amigo de sus amigos.",07-11-2011 20:17,0,1,polán toledo,True
Mareike Ohlberg,MareikeOhlberg,1448.0,847.0,2560.0,en,"Berlin, Germany",False,True,False,"Research associate at @merics_de, Chinese media, ideology, public diplomacy, Greater China politics and society. Usual disclaimers",27-10-2013 05:09,0,1,"berlin, germany",True
Maria 🖤,MariaDeleon94,627.0,320.0,25755.0,en,Central California,False,True,False,🇲🇽,11-02-2013 04:08,0,1,central california,True
.,MariaaRich,685.0,505.0,2483.0,en,Another Dimension ,False,True,False,Not rich in wealth but rich in mind ... J💙,14-02-2015 17:50,0,1,another dimension,True
Mariam Saleh,Mariam_Slh,1845.0,545.0,57912.0,en,"Cairo, Egypt",False,False,False,"Engineer by education, social communication specialist by profession, writer and blogger by passion, philosopher by nature. Who am I? A mix of all those.",17-12-2009 17:10,0,1,"cairo, egypt",True
Lil Ego,MasonVert_,957.0,565.0,64834.0,en,,False,True,False,#Loading,03-06-2013 00:24,0,0,,
Mario,marioper3,151.0,176.0,4321.0,en,,False,True,False,Usuario no entregó descripción de perfil,12-04-2009 23:41,0,0,,
Zelote,Mariozzelote,449.0,369.0,3705.0,es,Spain,False,True,False,Todo es una mentira.,21-04-2012 12:21,0,1,spain,True
Mark Entwistle,MarkDEntwistle,349.0,645.0,1438.0,en,,False,True,False,"Born and Raised in RI
Graduate of URI
Lived in Woonsocket, RI, Key West FL
Born into construction family, built sold and financed Real Estate.  NC R.E.Broker",10-09-2010 00:51,0,0,,
Narcotraficante,Mark_M_311,494.0,291.0,10943.0,en,"Wilkes-Barre, PA",False,True,False,"Views are not my own and are, in fact, those of @EasyCreamcheesy",14-06-2011 17:56,0,1,"wilkesbarre, pa",False
mark,markcastilloo,481.0,224.0,6387.0,en,,False,True,False,Usuario no entregó descripción de perfil,12-01-2013 20:01,0,0,,
Marko Pavlišič,MarkoPavlisic,2094.0,906.0,49243.0,en,"Trzin, Slovenia",False,True,False,"liberalec, vizionar, inženir, amaterski kolesar, jeanmark.",16-05-2009 17:20,0,1,"trzin, slovenia",True
Martin Olson,MartiniTortlini,346.0,345.0,1374.0,en,bay area,False,False,False,Gonzaga '20 | LT4,18-11-2012 04:09,0,1,bay area,True
Masa T,MasaMZP,664.0,2327.0,35437.0,ja,,False,True,False,RTは主に自分への備忘,02-05-2010 01:39,0,0,,
Matt Elyas,MattElyas,450.0,410.0,8150.0,en,"Los Angeles, CA",False,True,False,Usuario no entregó descripción de perfil,08-06-2014 19:55,0,1,"los angeles, ca",True
Matthew Harding,Matt_Harding,546.0,1339.0,18135.0,en,"Wichita, KS",False,True,False,"@ShaylonPlante's husband. Wx observer at KICT, anchor/reporter for KFDI News, writer for The Sin Bin. Tweets are my own & do not represent employers.",28-04-2009 01:31,0,1,"wichita, ks",True
Matti Bollinger,MattiKoenig,456.0,579.0,4425.0,en,Jackson,False,True,False,"You've gotta dance like there's nobody watching, Love like you'll never be hurt, Sing like there's nobody listening, And live like it's heaven on earth. -W.P.",30-03-2011 02:24,0,1,jackson,True
jimena.,stygothm,6012.0,475.0,89248.0,en-gb,,False,True,False,badge & a bullet (II),25-07-2013 14:25,0,0,,
MattyGFX,MattyLowLife,177.0,169.0,8381.0,en,909,False,True,False,GFX DESIGNER,22-07-2014 05:27,0,1,,False
Maxim Vos,MaximVos,318.0,263.0,4195.0,en,"Madrid, Spain",False,True,False,"MSc Aerospace Engineering, Control and Simulation @TUDelft",29-12-2008 23:58,0,1,"madrid, spain",True
Maya Hansen,MayaHansen,169432.0,721.0,2928.0,es,Madrid,False,True,True,Official Twitter page for Maya Hansen,01-06-2011 15:49,0,1,madrid,True
McNab,Mcnab_NZ,84.0,162.0,1739.0,en,,False,True,False,Usuario no entregó descripción de perfil,11-04-2013 00:59,0,0,,
Meaghan Murphy,MeaghanMurphyLA,1238.0,1250.0,15204.0,en,"Los Angeles, CA",False,True,False,"Entertainment journalist turned reality TV producer, #DTLA denizen and proud dog mom to Frankie.",18-05-2009 04:25,0,1,"los angeles, ca",True
Kyle Bayack,KyleBayack,245.0,399.0,1018.0,en,"Derby, KS",False,True,False,That one tall guy (6' 10 tall) whom you may see around somewhere. Who knows? I might be right behind you and call you 'princess'.,08-05-2014 16:16,0,1,"derby, ks",True
Taimur Mumtaz,MeerTaimur,479.0,41.0,3883.0,en,Muzaffarbad ,False,True,False,🐅   0092-345 5771779,03-02-2012 12:09,0,1,muzaffarbad,False
Megan Carolan,MegCarolan,564.0,630.0,1143.0,en, 'Merica,False,True,False,Musician. Events Coordinator. Social Media. I do little bit of everything and am fueled by coffee. U of M Music Business Grad.,16-08-2012 06:04,0,1,merica,True
Alolan Deeznuts,MegaGliscor,10282.0,794.0,54655.0,en,4270-4008-4028,False,True,False,I'm back.,08-08-2009 15:40,0,1,,False
Megan Puglia,MeganPuglia,466.0,618.0,5418.0,en,,False,True,False,Usuario no entregó descripción de perfil,30-03-2012 19:10,0,0,,
Meghan Ross,MeghanRRoss,1547.0,933.0,22369.0,en,Austin via NY,False,False,True,"Writer/comedian/woman being. @SlopSandwich co-founder & That Time of the Month co-host. Previously @VICELAND, contributor @Broadly, @Reductress, @Femsplain.",09-04-2009 00:29,0,1,austin via ny,False
Melissa Davey,MelissaLDavey,6408.0,2982.0,16448.0,en,Perth | Sydney | Melbourne,False,True,True,"Chief of @GuardianAus Melbourne bureau | Former Sydney Morning Herald journalist | Evidence-based health, social justice, etc melissa.davey@theguardian.com",29-04-2011 03:46,0,1,perth  sydney  melbourne,False
Mercury Starr,MelissaTruell,194.0,440.0,13490.0,en,"Edmond, Ok.,USA ",False,True,False,"it's best to be quiet &thought a fool than to open one's mouth &remove all doubt, but I just can't help myself!",15-04-2012 10:26,0,1,"edmond, ok,usa",True
Melody Games,MelodyGames,83.0,242.0,1087.0,en,,False,True,False,Live. Laugh. Love,07-05-2010 13:55,0,0,,
Miguel Villanueva,Messi0Neymar,84.0,123.0,238.0,en,,False,False,False,Usuario no entregó descripción de perfil,04-03-2015 03:14,0,0,,
MiDori,MiDoriHP,158.0,67.0,8672.0,en,муѕтι¢α,False,True,False,"im actually really shy and lame, I just try to act cooler than I actually am :))))",21-11-2014 11:21,0,1,,False
Afaq Ayub,Mian_Afaq,290.0,695.0,5141.0,en,"Islamabad, Pakistan",False,True,False,Engineer | Social Media Activist | Interested in Current Affairs | #Cricket | #Pakistan against all odds | #IQBAL | #AllamaIqbal | Tweets are personal*,28-11-2009 05:44,0,1,"islamabad, pakistan",True
Michael Seger,MichaelSeger,6491.0,3502.0,39037.0,en,"Tulsa, OK",False,True,True,FOX23 Morning Meteorologist. Storm Tracker. Weather Nerd. Indianapolis Colts Fan. @ValpoU and @SCADdotedu alum. NWA Certified. AMS Member.,15-05-2008 22:12,0,1,"tulsa, ok",True
・°°ヴィオラ°°・,MacDaddie420,259.0,368.0,26113.0,en,"Anchorage, Alaska",False,True,False,Ain't got no motherfuckin' espresso makers out in the woods do dey Bon Iver motherfucker -Mac Demarco wanna be art hoe. [INFP] https://t.co/vllCRcKCha,17-02-2011 01:35,0,1,"anchorage, alaska",True
Miguel,BaseballMike95,342.0,1908.0,28566.0,en,,False,True,False,"Giants,Warriors,49ers fan.",03-09-2013 01:03,0,0,,
Jio,MiiiGoh,539.0,210.0,8007.0,en,Manila,False,True,False,"If you wanna be different, you have to be good. Because to be good is different enough. Triathlete | Swimmer | U.P",24-06-2009 16:40,0,1,manila,True
Ⓜ️ike,MikeMarsh113,392.0,325.0,2281.0,en,Bristol,False,True,False,#SASASAS,02-03-2014 20:22,0,1,bristol,True
Michael Babick,MichaelBabick,215.0,161.0,3346.0,en,Carrollton ✈️ Lubbock,False,False,False,Adventure Seeker,16-12-2012 20:26,0,1,carrollton  lubbock,False
Mikko Kia (ミッコ) ,MikkoLovesYou,372.0,20.0,50536.0,en,Place unknown of no return,False,True,False,"Sunday School Teacher, Guitarist, Graphic Artist, Painter, Vocalist, Musician, Writer, Photographer, Visionary, Perfect man in the making | son of the only Son",17-07-2009 08:37,0,1,place unknown of no return,False
মিলাদ রহমান,M_RLoading,470.0,211.0,32446.0,en,,False,True,False,Ghuraba,27-07-2011 02:50,0,0,,
Milan,MilanRouge_,1148.0,611.0,40966.0,en,,False,True,False,"Inglewood, Ca #LongLiveEZ RIP bro.",24-01-2010 23:58,0,0,,
Narsscisstic💘Mason,MimayEmmanuel,167.0,137.0,1947.0,en,"Cebu City, Central Visayas",False,True,False,"🌹Be who you are, not what ppl wanted you to be  🌹
⬅(he/they)♂
Ig/kik/SC:@undeterminedx",04-10-2014 13:57,0,1,"cebu city, central visayas",True
Mimi Wen,MimiHNWen,26.0,19.0,451.0,en,Shanghai,False,True,False,Just my thoughts.,01-12-2010 22:44,0,1,shanghai,True
Exompler,Mimi_10393,313.0,429.0,10349.0,en,India,False,True,False,Exo--Error 404 Bias Not found|NCT Trash| Taengoo| Foodporn | F21,15-02-2013 11:28,0,1,india,True
Mina Mahfouz,MinaMNaguib,4201.0,751.0,55831.0,en,"Cairo,Egypt",False,True,False,"Sales engineer, former sporting editor. @acmilan @alahly #Canon #RF #Swimming #Egypt 🇪🇬",05-02-2011 01:05,0,1,"cairo,egypt",True
Mish Matheus 😀,MishMatheus,2132.0,2291.0,12012.0,en,"San Francisco, CA",False,False,False,"Propelled by my lust for life & passion for #DigitalMedia.  ❤️ @SFGiants, @afifest, @Sundancefest, @MOX_TV, @CreativeAllies, @hellocovo @BrokeLAFest",03-11-2008 06:57,0,1,"san francisco, ca",True
chelseatweets,MissHaape,93.0,160.0,4134.0,en,"Auckland, NZ",False,True,False,Chelsea Hape ✌,21-07-2010 11:25,0,1,"auckland, nz",True
Megan Aimes,MissMegzie,533.0,1606.0,1593.0,en,California,False,True,False,SAG/AFTRA . Actor . Fit Model . Blogger . Gamer . Adventurer . Foodie .  COMMERCIAL AGENT- @MincTalent,09-02-2009 03:20,0,1,california,True
Jaz'oynce Targaryen,Miss_Dalisa,3602.0,443.0,218905.0,en,"Oakland , WE$TSiDE ",False,True,False,"Don't de-value yourself in the attempt to show someone how valuable you are  .
Owner HALFTIME SPORTS BAR .",22-03-2009 07:11,0,1,"oakland , wetside",False
Kazz,MistaEngrish,209.0,202.0,20812.0,en,Japan,False,True,False,"Kazz. Love Engrish and English. Lived in LA ages ago. Photographer, translator. Check out my 500px page plz!!",02-01-2010 03:01,0,1,japan,True
Matthew G,GMlguthrie98,600.0,207.0,24343.0,en,goin back to cali ,False,True,False,T WĀY,09-12-2013 02:36,0,1,goin back to cali,False
babs,erosnymph,553.0,388.0,29058.0,en,"California, USA",False,True,False,strange but not a stranger,18-01-2013 03:35,0,1,"california, usa",True
Nicolynne,Mocha4Chica,121.0,404.0,6279.0,en,The Tron,False,True,False,"#autism and #eatingdisorders...my kids, my life
 I see humor and beauty in most things",28-03-2012 07:03,0,1,the tron,True
jennifer ~,taehyungtbfh,2132.0,272.0,10937.0,en,"Coatbridge, Scotland",False,False,False,jangjangman bongbong,12-02-2012 20:48,0,1,"coatbridge, scotland",True
Brandon Coleman,MondoCowabunga,264.0,729.0,2500.0,en,"Kansas City, MO",False,False,False,"chef, amateur lawyer, biographical cartographer, former home run derby champion, spirit animal is John Belushi as a bumblebee.",28-10-2014 19:32,0,1,"kansas city, mo",True
Michel Liverpool,Moneymagnate,1321.0,2040.0,2196.0,en,,False,True,False,"Mother, Wife, Entrepreneur, Servant Leader, M.A.Organizational Leadership, Child of God, Musician, Writer and Observer of people and events.",31-03-2008 12:21,0,0,,
Anoop,MrDotzz,1217.0,204.0,34891.0,en,Earth 2.0 ,False,True,False,#BleedBlue #നുമ്മകൊച്ചി,16-10-2009 09:47,0,1,earth,True
Giacomo Palmieri,OnlyGuacamole,367.0,412.0,8649.0,en,"Canterbury, England",False,False,False,Player of loud stuff on @CSRfm. MA student at the University of Kent. Linguist. Guitarist. Football enthusiast. Views are my own.✌,11-04-2013 15:28,0,1,"canterbury, england",True
Gary Cooper,MrGaryCooper,2417.0,2123.0,11780.0,en,"San Antonio, Texas",False,True,False,"Fan of Sir Winston Churchill, @nahj region director, video dork, grumpy young man. I once had a tweet featured in the @HuffingtonPost.",10-07-2009 19:43,0,1,"san antonio, texas",True
D Cheng,Mr_D_Cheng,646.0,421.0,2338.0,en,Oldham,False,True,False,Professional Development Mentor and Science teacher - not necessarily in that order.,22-04-2011 16:48,0,1,oldham,True
G.A,Mr_G92,187.0,297.0,883.0,en,"London, England",False,True,False,"building myself up block by block. I'll never stop until I'm at the top. 📈 Learn, achieve and inspire..",10-08-2014 18:16,0,1,"london, england",True
Tearikirangi Mamaku,Mr_Mamaku,166.0,309.0,1099.0,en,Wellington ,False,True,False,"Awkward and shy at the worst of times, but an extrovert most mornings.",15-11-2011 06:46,0,1,wellington,True
Extra Account ❤,MrssHoran70,647.0,667.0,27882.0,en,"Since 8 November, 2013",False,True,False,"@pizzahut followed ❤ @tommophoebe followed too ❤❤ @SamoZaen faved ☆ at 9:08pm ,, @Faydee faved ❤ I LOVE HIMM :') .",08-11-2013 16:32,0,1,"since  november,",False
Diamond Balotje,Mrz_Diamond,387.0,703.0,16370.0,en,Globally,False,True,False,"When thingz are known, words are useless!
                                                                                           

❤💛💚",26-06-2011 20:12,0,1,globally,True
Nneka,MsAmbiguous,880.0,283.0,53216.0,en,Home,False,True,False,"May the best of your todays, be the worst of your tomorrows.- Sir Carter From Brooklyn
#INTJ",14-03-2009 00:53,0,1,home,True
ChelliseB,ChelliseB,67.0,417.0,569.0,en,,False,True,False,Usuario no entregó descripción de perfil,11-05-2013 00:29,0,0,,
Maria Sp,DrSpyrou,842.0,818.0,12386.0,en,London,False,True,False,"I'm here to improve the #energy #efficiency of retail!  I'm a geek, I love technology, #hats, #cats and my tweets are usually random, just like my thoughts.",27-02-2009 23:42,0,1,london,True
Tamia 🖤,MsMuggin,156.0,173.0,1303.0,en,,False,True,False,Hey i'm Tam aka Tamia...Trackstar in the making. So follow me. BA Alumni CCC sc-tlucero13,09-07-2013 17:20,0,0,,
Beth Patterson,Msbethpatt,113.0,239.0,966.0,en,"London, England",False,True,False,Usuario no entregó descripción de perfil,03-04-2011 23:11,0,1,"london, england",True
♈️🤷🏽‍♀️™,MJB_30,931.0,600.0,43178.0,en,,False,True,False,"Oh, so you get turned on by tweets. This shit is neither here or there. I'm just killing time, don't pay me any mind. 🌻 Dreadhead",14-05-2014 13:51,0,0,,
Mountain View,MtnViewHome,64.0,108.0,520.0,en,"Mammoth Lakes, CA",False,True,False,"Mammoth Lakes absentee homeowners service. Experienced, knowledgeable, & solid home care when you can't be here.",25-03-2014 19:07,0,1,"mammoth lakes, ca",True
☮❤🇺🇸 Muffy 😈🌲🎸,Muffissness,4918.0,4478.0,64376.0,en,"San Diego, California, U.S.A.",False,True,False,"🌎 Just a #Maryland girl, in a #California world. 🌍 I give a shit. ⚛",09-05-2009 03:24,0,1,"san diego, california, usa",True
🖤,MurdderSheWrote,1243.0,695.0,60862.0,en,Los Angeles,False,True,False,Usuario no entregó descripción de perfil,27-12-2010 22:39,0,1,los angeles,True
Muriel,MurielCabrera,1107.0,910.0,28671.0,en,Dominican Republic,False,False,False,Exageradamente ella,29-07-2009 03:18,0,1,dominican republic,True
Mario Paulino,Murioh_,157.0,926.0,969.0,en,"Irving, TX",False,True,False,Chef Boyardee • Lil Pac • You Need A Team To Be The Real You And Thats Sad •,09-12-2014 20:40,0,1,"irving, tx",True
Muslim Graffiti,MuslimGraffiti,947.0,2039.0,17233.0,en,,False,True,False,Salah (5 daily prayers). Obtain knowledge of Islam & share it with Good Manners & Patience. Every1 you meet near & far. A kind word is easily understood.,13-10-2010 21:33,0,0,,
LiAngel♊️♊️♊️,MuthaF_WHO,242.0,343.0,9273.0,en,always on the move ,False,True,False,Teacher to be! ✏️✒️ #teamgemini #LU,14-06-2011 19:12,0,1,always on the move,False
tuck,MyShotsGone,760.0,628.0,33423.0,en,#CCU,False,True,False,NY✈️SC,18-04-2012 05:59,0,1,ccu,True
"Michael Torres, PhD",Mykalt45,2997.0,2426.0,42594.0,en,"Dallas, TX",False,True,False,"PhD in Cancer Biology. Avid Mac user, amateur music creator, art and fitness enthusiast. Co-founder. Director. Board Member.",28-04-2011 12:25,0,1,"dallas, tx",True
❤I Am Ritz❤,MysticRitz,607.0,618.0,54635.0,en,,False,True,False,Usuario no entregó descripción de perfil,15-12-2009 09:34,0,0,,
NA2Keey,NA2Keey,145.0,374.0,316.0,ja,,False,True,False,"Hi! Japanese/male/love music, movie, trip.",24-05-2010 11:06,0,0,,
Norfel,NMCasinto,2091.0,484.0,16576.0,en,"Pagadian City, PH",False,False,False,"|| June 28, 1996 || SDA || BSACT ||ツ  ✞",23-06-2011 04:39,0,1,"pagadian city, ph",True
One Direction,niallssmonkeyy,1422.0,943.0,27765.0,en,بسم الله الرحمن الرحيم,False,True,False,one day I will scream My Niall/❯❯❯❯,25-08-2014 22:11,0,1,,False
Sharon Honeyfield,NakiGirl2013,73.0,215.0,158.0,en,"Turuturu School, Hawera, NZ",False,True,False,Ocean Rower in Training. Assistant Principal. Junior Team Leader. Teacher. Life Long Learner.,16-08-2013 08:06,0,1,"turuturu school, hawera, nz",False
Thomas Caldwell,NamesThomas,886.0,1358.0,12752.0,en,Mar-10,False,True,False,"Tall enough to be in the NBA but white enough to know better, I'm not a serial killer isnt that good enough?",02-07-2009 06:39,0,1,mar,True
Nancy Clay,NancyLClay,2774.0,3656.0,51092.0,en,Mountain west,False,True,False,"Freedom is a law of God, an eternal law. As long as a man stands for freedom, he stands with God.--Ezra Taft Benson",13-03-2009 21:13,0,1,mountain west,True
Shellz,NapkinGirl,220.0,144.0,33341.0,en,#ShellzForBrains,False,True,False,Welcome to the inner workings of my mind.,26-07-2010 03:33,0,1,shellzforbrains,False
Natasha Rivera,NatashaRRivera,1308.0,1257.0,12033.0,en,"New Jersey, USA",False,True,False,"Wife, mother, teacher, technology enthusiast, health conscious, beach, music, and travel aficionada, from Venezuela, living in NJ. My tweets = my thoughts.",24-10-2011 18:25,0,1,"new jersey, usa",True
ηαтнαηιєℓ,Nattie_Best,1785.0,507.0,159944.0,en,"¢євυ ¢ιту, ρнιℓιρριηєѕ.",False,True,False,мє∂ι¢ιηє | мαη¢нєѕтєя υηιтє∂ | мσνιєѕ,21-01-2011 13:39,0,1,",",False
Trisha Mae ✈️,Nattielixious,707.0,386.0,6550.0,en,"Alaminos City, Pangasinan",False,True,False,Im better than her in all ways 🌹,10-07-2011 04:38,0,1,"alaminos city, pangasinan",True
TiGRESS,_TiNie_MIA,4070.0,2421.0,104511.0,en,in em clouds,False,True,False,"Le dowter of my mother,strong,Grown hybrid! ijebu-itsekiri babe..NaWTi bY nAtuRe..No BS allowed..Respect ʊʀsɛʟʄ 
IG: tinie_mimi
#iSLAY #TeamFollowBack #RiriNavy",04-11-2011 23:16,0,1,in em clouds,False
Nate,Ncline60,362.0,454.0,2232.0,en,Arkansas,False,True,False,Usuario no entregó descripción de perfil,08-11-2011 01:07,0,1,arkansas,True
Lore Mipsum,NellaDarren,461.0,281.0,50994.0,de,"Darmstadt, Germany",False,True,False,"Tweets are mouth-felted from 100% luxuriously silky nose-hair. Mundgefilzte Tweets aus reinem Nasenhaar, extra fein. (she/sie/elle, dyacis Hete)",04-02-2012 19:10,0,1,"darmstadt, germany",True
Lemonta Nelson,NelsonBoy573,885.0,500.0,22282.0,en,✋seven3⃣- LnSt|4L,False,True,False,Usuario no entregó descripción de perfil,17-09-2011 17:53,0,1,seven lnstl,False
Archaeolife,Archaeolife_IM,405.0,961.0,3834.0,es,"Madrid, Spain",False,True,False,Historian & Archaeologist. Diehard humanist. Grant holder at Unseen University (Ankh-Morpork).,28-05-2011 19:20,0,1,"madrid, spain",True
Neuza Orozco Narváez,NeuzaMechis,3687.0,534.0,5747.0,es,In My House!!! └A ,False,True,False,"We make a living by what we get, we make a life by what we give. ж неуза",24-05-2010 05:17,0,1,in my house a,True
Nevine Abaza,NevineAbaza,2327.0,450.0,16961.0,en,"Egypt, Cairo",False,True,False,Owner and founder of @Angels_Egypt. Artist & Writer. An Egyptian girl that is deeply in love with Egypt ❤,02-02-2011 19:12,0,1,"egypt, cairo",True
News This Second,NewsThisSecond,18058.0,4290.0,438617.0,en,Wherever the story takes us,False,True,False,The world isn't nine to five and neither are we. We tweet #Breaking news and developing stories.,27-12-2012 01:09,0,1,wherever the story takes us,False
Nicholas See Wai,NicSeeWai,48.0,170.0,9732.0,en,Trinidad,False,True,False,Welcome to the real world of Nicholas See Wai,04-10-2010 22:20,0,1,trinidad,True
emeikaielea,NicFrasco,218.0,839.0,7843.0,en,        M,False,False,False,😊🌈 // my main goal rn is to be happy. // sleepyhead,09-05-2014 11:56,0,1,m,False
Sir Nicholas ,Nick_Rinks,59.0,56.0,522.0,en,,False,True,False,"I'm your typical smartass, take it or leave it",04-01-2015 17:25,0,0,,
Nicka Rapiz,Nickaaaang,238.0,287.0,3912.0,en,MNL,False,False,False,Romans 8:31 Saved by Grace Redeemed Jesus My Savior Media x Emiliano '95 James' ❤️,14-10-2014 11:20,0,1,mnl,True
NICOLE,NicoleCallera,1153.0,820.0,34034.0,en,Perth Wes. Aus // cebu Phil.,False,False,False,"Fate ordained by the sky // 
Your future boss.",11-06-2014 03:50,0,1,perth wes aus  cebu phil,False
½Mn½Amzing,NiggaNamdChoppa,1880.0,798.0,72608.0,en,the LEAF,False,True,False,I'm the Colossal Titan,09-05-2010 09:06,0,1,the leaf,True
ギャー,Nihon36,183.0,610.0,15406.0,en,,False,True,False,just want to inspire and be inspired,16-10-2009 12:48,0,0,,
Nicold ❄,NicoldCarcache,9935.0,7873.0,36625.0,es,Nicaragua ♥,False,True,False,"I’m stuck between trying to live my life, and trying to run from it.",25-11-2012 00:08,0,1,nicaragua,True
H.O.L.Y PIMP,Niyah_lover,70.0,537.0,8007.0,en,,False,True,False,2/28/16❤️❤️❤️❤️,27-08-2014 02:27,0,0,,
Abboadalla,Abboadalla,268.0,262.0,40294.0,en,Hollyweed,False,False,False,Goddamn bitch,30-01-2011 23:42,0,1,hollyweed,True
Noely ⚓,Noely_A7X,225.0,157.0,9381.0,en,,False,True,False,Stay Metal \m/,03-12-2010 06:46,0,0,,
Daughter of a G...,Nomzy_M,452.0,285.0,11420.0,en,"Randburg, South Africa",False,True,False,Forever evolving!,09-07-2011 20:38,0,1,"randburg, south africa",True
Tangie,NormaniKorSLAY,3306.0,259.0,93991.0,en,,False,True,False,whenever wherever,21-08-2011 20:29,0,0,,
Max,NotMaxMcGlaun,189.0,130.0,5437.0,en,"Derby, Ks",False,True,False,Snapchat: SirMaxiPad,26-01-2011 02:41,0,1,"derby, ks",True
NotSoJudith,NotSoJudith,39.0,94.0,232.0,en,Southern California,False,True,False,"Whatever it is, just do it!",04-08-2009 06:32,0,1,southern california,True
Larry Nussbaum,NussyL,149.0,271.0,516.0,en,Johannesburg,False,True,False,"IT and Photography are my passion. 
Being an IT Professional I love keeping upto date with all the latest trends and tricks.",22-09-2011 21:18,0,1,johannesburg,True
Chris O'Grady,notoriousogrady,823.0,754.0,24890.0,en,,False,True,False,snapchat chrisogrady96,08-05-2012 14:42,0,0,,
lucía,skinsxcth,4974.0,171.0,62943.0,en,,False,True,False,"and suddenly, i felt nothing",12-01-2010 17:02,0,0,,
j a c k s o n,jacksonisaiah_,3456.0,2929.0,9767.0,en,"Arlington, TX",False,False,False,"Singer/Songwriter | ""Fuck em"" | Every second you spend unhappy is a second of happiness you will never get back",13-11-2013 18:55,0,1,"arlington, tx",True
DawnDizzle,O_ReneDawn,394.0,550.0,13459.0,en,"Los Angeles, CA",False,False,False,"♡ Rene'Dawn, (KoolK!d) Dawn Dizzle Model | Photographer | Designer | Promoter #TeamFlipPhone https://t.co/Mrnll3FFzf",15-05-2009 14:14,0,1,"los angeles, ca",True
OaktownMojo,OaktownMojo,1445.0,1992.0,7695.0,en,"Oakland, CA",False,True,False,Mostly baseball related tweets. SoCal born living in Oaktown! Oakland A's & Buffalo Bills Fan.,05-04-2011 06:27,0,1,"oakland, ca",True
Obed Manwatkar,ObedPwg,241.0,696.0,2741.0,en,New Delhi,False,True,False,I am the captain of my soul ---Madiba ❤️❤️❤️,28-12-2013 14:48,0,1,new delhi,True
James Chen,Obscurica,3981.0,1870.0,145924.0,en,"Frisco, TX",False,True,False,"Staff writer with @PVPLive. GETS REALLY YELLY ABOUT LEAGUE, POLITICS, AND SCIENCE. Email: jchen@pvp-live.com",11-01-2012 23:33,0,1,"frisco, tx",True
OdranP,OdranPL,15.0,18.0,166.0,es,,False,True,False,Usuario no entregó descripción de perfil,19-10-2014 19:36,0,0,,
Off The Hook,OffTheHookOKC,3636.0,675.0,4364.0,en,"Oklahoma City, Oklahoma",False,True,False,"We are a restaurant that specializes in seafood, but we also offer other items like chicken as well. 125 W. Britton Rd #GETHOOKED 405840FISH offthehookokc@gmail",21-01-2013 19:59,0,1,"oklahoma city, oklahoma",True
